,Location,Birth Rate,Year,State,Region,Stabr
346,South Carolina,58.0,2019,South Carolina,South,SC
347,South Dakota,70.6,2019,South Dakota,Midwest,SD
348,Tennessee,60.3,2019,Tennessee,South,TN
349,Texas,62.5,2019,Texas,South,TX
350,Utah,66.7,2019,Utah,West,UT
351,Vermont,46.8,2019,Vermont,Northeast,VT
352,Virginia,57.8,2019,Virginia,South,VA
353,Washington,56.0,2019,Washington,West,WA
354,West Virginia,57.6,2019,West Virginia,South,WV
355,Wisconsin,58.1,2019,Wisconsin,Midwest,WI
356,Wyoming,60.8,2019,Wyoming,West,WY
357,United States,56.0,2020,United States,N/A,US
358,Alabama,60.6,2020,Alabama,South,AL
359,Alaska,65.7,2020,Alaska,West,AK
360,Arizona,54.0,2020,Arizona,West,AZ
361,Arkansas,60.7,2020,Arkansas,South,AR
362,California,52.4,2020,California,West,CA
363,Colorado,51.5,2020,Colorado,West,CO
364,Connecticut,49.9,2020,Connecticut,Northeast,CT
365,Delaware,57.0,2020,Delaware,South,DE
366,Florida,53.4,2020,Florida,South,FL
367,Georgia,55.7,2020,Georgia,South,GA
368,Hawaii,61.1,2020,Hawaii,West,HI
369,Idaho,60.9,2020,Idaho,West,ID
370,Illinois,53.8,2020,Illinois,Midwest,IL
371,Indiana,59.8,2020,Indiana,Midwest,IN
372,Iowa,60.4,2020,Iowa,Midwest,IA
373,Kansas,61.1,2020,Kansas,Midwest,KS
374,Kentucky,60.8,2020,Kentucky,South,KY
375,Louisiana,62.2,2020,Louisiana,South,LA
376,Maine,49.2,2020,Maine,Northeast,ME
377,Maryland,57.7,2020,Maryland,South,MD
378,Massachusetts,47.6,2020,Massachusetts,Northeast,MA
379,Michigan,55.6,2020,Michigan,Midwest,MI
380,Minnesota,58.3,2020,Minnesota,Midwest,MN
381,Mississippi,61.0,2020,Mississippi,South,MS
382,Missouri,58.7,2020,Missouri,Midwest,MO
383,Montana,54.3,2020,Montana,West,MT
384,Nebraska,64.7,2020,Nebraska,Midwest,NE
385,Nevada,54.8,2020,Nevada,West,NV
386,New Hampshire,47.7,2020,New Hampshire,Northeast,NH
387,New Jersey,58.6,2020,New Jersey,Northeast,NJ
388,New Mexico,54.6,2020,New Mexico,West,NM
389,New York,54.6,2020,New York,Northeast,NY
390,North Carolina,56.2,2020,North Carolina,South,NC
391,North Dakota,67.4,2020,North Dakota,Midwest,ND
392,Ohio,58.3,2020,Ohio,Midwest,OH
393,Oklahoma,61.0,2020,Oklahoma,South,OK
394,Oregon,47.8,2020,Oregon,West,OR
395,Pennsylvania,54.9,2020,Pennsylvania,Northeast,PA
396,Rhode Island,48.7,2020,Rhode Island,Northeast,RI
397,South Carolina,55.9,2020,South Carolina,South,SC
398,South Dakota,66.7,2020,South Dakota,Midwest,SD
399,Tennessee,58.5,2020,Tennessee,South,TN
400,Texas,60.2,2020,Texas,South,TX
401,Utah,64.1,2020,Utah,West,UT
402,Vermont,44.7,2020,Vermont,Northeast,VT
403,Virginia,55.8,2020,Virginia,South,VA
404,Washington,54.0,2020,Washington,West,WA
405,West Virginia,55.3,2020,West Virginia,South,WV
406,Wisconsin,55.4,2020,Wisconsin,Midwest,WI
407,Wyoming,56.4,2020,Wyoming,West,WY
408,United States,56.3,2021,United States,N/A,US
409,Alabama,59.5,2021,Alabama,South,AL
410,Alaska,64.9,2021,Alaska,West,AK
411,Arizona,55.5,2021,Arizona,West,AZ
412,Arkansas,61.7,2021,Arkansas,South,AR
413,California,52.8,2021,California,West,CA
414,Colorado,52.5,2021,Colorado,West,CO
415,Connecticut,52.1,2021,Connecticut,Northeast,CT
416,Delaware,56.5,2021,Delaware,South,DE
417,Florida,54.9,2021,Florida,South,FL
418,Georgia,55.9,2021,Georgia,South,GA
419,Hawaii,59.2,2021,Hawaii,West,HI
420,Idaho,60.7,2021,Idaho,West,ID
421,Illinois,53.0,2021,Illinois,Midwest,IL
422,Indiana,60.2,2021,Indiana,Midwest,IN
423,Iowa,60.8,2021,Iowa,Midwest,IA
424,Kansas,61.0,2021,Kansas,Midwest,KS
425,Kentucky,60.8,2021,Kentucky,South,KY
426,Louisiana,62.7,2021,Louisiana,South,LA
427,Maine,49.9,2021,Maine,Northeast,ME
428,Maryland,56.4,2021,Maryland,South,MD
429,Massachusetts,49.0,2021,Massachusetts,Northeast,MA
430,Michigan,55.4,2021,Michigan,Midwest,MI
431,Minnesota,58.6,2021,Minnesota,Midwest,MN
432,Mississippi,60.7,2021,Mississippi,South,MS
433,Missouri,58.4,2021,Missouri,Midwest,MO
434,Montana,54.8,2021,Montana,West,MT
435,Nebraska,64.4,2021,Nebraska,Midwest,NE
436,Nevada,54.8,2021,Nevada,West,NV
437,New Hampshire,49.9,2021,New Hampshire,Northeast,NH
438,New Jersey,58.0,2021,New Jersey,Northeast,NJ
439,New Mexico,52.9,2021,New Mexico,West,NM
440,New York,54.1,2021,New York,Northeast,NY
441,North Carolina,58.1,2021,North Carolina,South,NC
442,North Dakota,66.7,2021,North Dakota,Midwest,ND
443,Ohio,57.9,2021,Ohio,Midwest,OH
444,Oklahoma,61.5,2021,Oklahoma,South,OK
445,Oregon,48.9,2021,Oregon,West,OR
446,Pennsylvania,54.7,2021,Pennsylvania,Northeast,PA
447,Rhode Island,48.3,2021,Rhode Island,Northeast,RI
448,South Carolina,57.5,2021,South Carolina,South,SC
449,South Dakota,68.6,2021,South Dakota,Midwest,SD
450,Tennessee,59.8,2021,Tennessee,South,TN
451,Texas,60.7,2021,Texas,South,TX
452,Utah,63.6,2021,Utah,West,UT
453,Vermont,44.9,2021,Vermont,Northeast,VT
454,Virginia,56.1,2021,Virginia,South,VA
455,Washington,54.2,2021,Washington,West,WA
456,West Virginia,54.7,2021,West Virginia,South,WV
457,Wisconsin,55.7,2021,Wisconsin,Midwest,WI
458,Wyoming,57.5,2021,Wyoming,West,WY
